"week","rank","song","artist"
"1976-11-20",1,"Tonight's The Night","Rod Stewart"
"1976-11-20",2,"The Wreck Of The Edmund Fitzgerald","Gordon Lightfoot"
"1976-11-20",3,"Love So Right","Bee Gees"
"1976-11-20",4,"Muskrat Love","Captain & Tennille"
"1976-11-20",5,"Disco Duck (Part 1)","Rick Dees & His Cast Of Idiots"
"1976-11-20",6,"The Rubberband Man","Spinners"
"1976-11-20",7,"Rock'n Me","Steve Miller Band"
"1976-11-20",8,"Just To Be Close To You","Commodores"
"1976-11-20",9,"Beth/Detroit Rock City","Kiss"
"1976-11-20",10,"Do You Feel Like We Do","Peter Frampton"
"1976-11-20",11,"Nadia's Theme (The Young & The Restless)","Barry DeVorzon And Perry Botikin Jr."
"1976-11-20",12,"More Than A Feeling","Boston"
"1976-11-20",13,"Fernando","ABBA"
"1976-11-20",14,"You Are The Woman","Firefall"
"1976-11-20",15,"Nights Are Forever Without You","England Dan & John Ford Coley"
"1976-11-20",16,"If You Leave Me Now","Chicago"
"1976-11-20",17,"(Don't Fear) The Reaper","Blue Oyster Cult"
"1976-11-20",18,"You Don't Have To Be A Star (To Be In My Show)","Marilyn McCoo & Billy Davis Jr."
"1976-11-20",19,"The Best Disco In Town","The Ritchie Family"
"1976-11-20",20,"I Never Cry","Alice Cooper"
"1976-11-20",21,"Magic Man","Heart"
"1976-11-20",22,"You Make Me Feel Like Dancing","Leo Sayer"
"1976-11-20",23,"Love Me","Yvonne Elliman"
"1976-11-20",24,"I Only Want To Be With You","Bay City Rollers"
"1976-11-20",25,"Stand Tall","Burton Cummings"
"1976-11-20",26,"Love Ballad","L.T.D."
"1976-11-20",27,"Play That Funky Music","Wild Cherry"
"1976-11-20",28,"Sorry Seems To Be The Hardest Word","Elton John"
"1976-11-20",29,"After The Lovin'","Engelbert Humperdinck"
"1976-11-20",30,"Nice 'N' Naasty","Salsoul Orchestra"
"1976-11-20",31,"Hot Line","The Sylvers"
"1976-11-20",32,"Livin' Thing","Electric Light Orchestra"
"1976-11-20",33,"Hello Old Friend","Eric Clapton"
"1976-11-20",34,"A Fifth Of Beethoven","Walter Murphy & The Big Apple Band"
"1976-11-20",35,"You Are My Starship","Norman Connors"
"1976-11-20",36,"It's A Long Way There","Little River Band"
"1976-11-20",37,"She's Gone [re-release]","Daryl Hall & John Oates"
"1976-11-20",38,"A Dose Of Rock 'N' Roll","Ringo Starr"
"1976-11-20",39,"Give It Up (Turn It Loose)","Tyrone Davis"
"1976-11-20",40,"Dazz","Brick"
"1976-11-20",41,"Lowdown","Boz Scaggs"
"1976-11-20",42,"Jeans On","David Dundas"
"1976-11-20",43,"That'll Be The Day","Linda Ronstadt"
"1976-11-20",44,"(Shake, Shake, Shake) Shake Your Booty","KC & The Sunshine Band"
"1976-11-20",45,"This One's For You","Barry Manilow"
"1976-11-20",46,"The End Is Not In Sight (The Cowboy Tune)","Amazing Rhythm Aces"
"1976-11-20",47,"I Can't Live A Dream","The Osmonds"
"1976-11-20",48,"Whenever I'm Away From You","John Travolta"
"1976-11-20",49,"So Sad The Song","Gladys Knight & The Pips"
"1976-11-20",50,"My Sweet Summer Suite","Love Unlimited Orchestra"
"1976-11-27",1,"Tonight's The Night","Rod Stewart"
"1976-11-27",2,"The Wreck Of The Edmund Fitzgerald","Gordon Lightfoot"
"1976-11-27",3,"Love So Right","Bee Gees"
"1976-11-27",4,"Muskrat Love","Captain & Tennille"
"1976-11-27",5,"The Rubberband Man","Spinners"
"1976-11-27",6,"Disco Duck (Part 1)","Rick Dees & His Cast Of Idiots"
"1976-11-27",7,"Just To Be Close To You","Commodores"
"1976-11-27",8,"Beth/Detroit Rock City","Kiss"
