shot_outcome_name,shot_statsbomb_xg,match_file,xpos,ypos
Goal,0.097240604,7430.json,106.0,35.0
Saved,0.09457453,7430.json,106.0,32.0
Blocked,0.008003449,7430.json,110.0,21.0
Saved,0.10499528,7430.json,103.0,39.0
Post,0.24550784,7430.json,116.0,34.0
Saved,0.14212596,7430.json,108.0,38.0
Goal,0.057973385,7430.json,95.0,46.0
Blocked,0.06551418,7430.json,104.0,52.0
Post,0.3215839,7443.json,111.0,45.0
Off T,0.15594445,7443.json,108.0,52.0
Blocked,0.02328303,7443.json,105.0,23.0
Off T,0.090093054,7443.json,110.0,44.0
Saved,0.088149086,7443.json,110.0,47.0
Blocked,0.050770175,7443.json,97.0,49.0
Blocked,0.05862246,7443.json,105.0,51.0
Wayward,0.12242812,7443.json,110.0,41.0
Blocked,0.08224795,7443.json,103.0,38.0
Wayward,0.084398285,7443.json,117.0,48.0
Goal,0.06318396,7443.json,113.0,49.0
Blocked,0.11850678,7443.json,113.0,44.0
Off T,0.01211852,7443.json,106.0,58.0
Blocked,0.06403179,7443.json,105.0,49.0
Saved,0.4215263,7443.json,117.0,38.0
Blocked,0.41241845,7443.json,117.0,39.0
Blocked,0.059535444,7443.json,103.0,39.0
Off T,0.008289203,7444.json,84.0,34.0
Saved,0.06255593,7444.json,102.0,38.0
Blocked,0.023259489,7444.json,98.0,25.0
Saved,0.007487467,7444.json,93.0,60.0
Goal,0.043343667,7444.json,113.0,54.0
Off T,0.026061121,7444.json,91.0,42.0
Saved,0.060529284,7444.json,117.0,30.0
Off T,0.10728357,7444.json,110.0,35.0
Blocked,0.02419304,7444.json,95.0,29.0
Saved,0.47587585,7444.json,113.0,41.0
Saved,0.0125224,7444.json,112.0,22.0
Blocked,0.014356908,7444.json,99.0,17.0
Saved,0.13117279,7444.json,115.0,46.0
Off T,0.26947305,7444.json,114.0,34.0
Saved,0.06217797,7444.json,106.0,50.0
Off T,0.015509545,7444.json,115.0,55.0
Saved,0.1785034,7444.json,113.0,45.0
Off T,0.15049694,7444.json,110.0,42.0
Off T,0.029684914,7445.json,97.0,53.0
Blocked,0.021009415,7445.json,94.0,29.0
Off T,0.41983083,7445.json,104.0,31.0
Goal,0.087550275,7445.json,97.0,54.0
Off T,0.04817552,7445.json,95.0,31.0
Off T,0.38284126,7445.json,113.0,37.0
Blocked,0.060218733,7445.json,101.0,40.0
Saved,0.41966072,7451.json,112.0,44.0
Saved,0.05245745,7451.json,99.0,40.0
Off T,0.033156533,7451.json,116.0,53.0
Saved,0.08528373,7451.json,102.0,31.0
Off T,0.34144115,7451.json,109.0,36.0
Blocked,0.059390876,7451.json,103.0,54.0
Blocked,0.031161604,7451.json,100.0,53.0
Off T,0.04361278,7451.json,95.0,42.0
Wayward,0.10895299,7451.json,104.0,39.0
Saved,0.0630701,7451.json,105.0,53.0
Blocked,0.03001739,7451.json,91.0,31.0
Blocked,0.18400148,7451.json,108.0,45.0
Off T,0.027448565,7456.json,94.0,30.0
Off T,0.21004213,7456.json,116.0,35.0
Saved,0.12532829,7456.json,110.0,31.0
Goal,0.1786457,7456.json,112.0,32.0
Blocked,0.022684412,7456.json,95.0,25.0
Goal,0.50496453,7456.json,118.0,44.0
Saved,0.060239185,7456.json,108.0,40.0
Off T,0.12460103,7456.json,104.0,48.0
Blocked,0.12136204,7456.json,109.0,43.0
Blocked,0.05352903,7456.json,106.0,52.0
Saved,0.10409,7456.json,103.0,37.0
Off T,0.31362534,7456.json,112.0,40.0
Wayward,0.10466554,7456.json,112.0,40.0
Blocked,0.19312048,7456.json,112.0,41.0
Post,0.080768615,7457.json,113.0,30.0
Post,0.19757304,7457.json,112.0,39.0
