Anth1,Anth2,Anth3,Anth4,Hom1,Hom2,Hom3,Hom4,CulApp1,CulApp2,CulApp3,CulApp4,Fam1,Fam2,Fam3,ITU1,ITU2,ITU3,PSP1,PSP2,PSP3,PSP4,PSP5,TRT1,TRT2,TRT3,DTRT1,DTRT2,DTRT3,DTRT4,DTRT5
2,5,3,5,4,4,4,4,3,2,3,3,4,2,3,4,2,2,4,4,4,3,3,4,4,4,1,1,1,1,1
3,3,3,3,2,2,2,2,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,2
3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,3,3,3,3,3,4,3,3,3,3,3,2,2,2,2,2
4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2
3,5,3,3,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3
5,4,4,3,2,2,1,3,4,3,4,4,3,4,3,2,4,3,3,4,2,1,2,2,2,3,2,2,4,3,1
4,3,2,2,2,4,3,3,4,4,4,4,2,4,4,4,4,4,2,2,2,1,2,4,4,3,2,2,3,1,3
5,5,5,1,1,1,1,4,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,5,5,5,1,1,1,1,1
4,3,3,1,1,1,1,3,3,3,4,3,1,1,4,2,2,2,3,2,2,4,4,3,3,3,2,2,1,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,4,4,2,2,2,2,2
3,3,2,4,2,3,3,3,2,2,4,4,4,4,4,2,2,2,3,4,4,3,3,2,2,2,4,4,4,4,4
5,5,5,1,2,3,4,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,3,2,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1
4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1
