saison;Spieltag;Datum;time;Ort;gegner;score1;score2;win;already_meister;win_draw;lose;
2021-22;1;13.08.21;20:30;A;Bor. Mönchengladbach;1;1;0;0;1;0;
2021-22;2;22.08.21;17:30;H;1. FC Köln;3;2;1;0;1;0;
2021-22;3;28.08.21;18:30;H;Hertha BSC;5;0;1;0;1;0;
2021-22;4;11.09.21;18:30;A;RB Leipzig;4;1;1;0;1;0;
2021-22;5;18.09.21;15:30;H;VfL Bochum;7;0;1;0;1;0;
2021-22;6;24.09.21;20:30;A;SpVgg Greuther Fürth;3;1;1;0;1;0;
2021-22;7;03.10.21;17:30;H;Eintracht Frankfurt;1;2;0;0;0;1;
2021-22;8;17.10.21;15:30;A;Bayer Leverkusen;5;1;1;0;1;0;
2021-22;9;23.10.21;15:30;H;1899 Hoffenheim;4;0;1;0;1;0;
2021-22;10;30.10.21;15:30;A;1. FC Union Berlin;5;2;1;0;1;0;
2021-22;11;06.11.21;15:30;H;SC Freiburg;2;1;1;0;1;0;
2021-22;12;19.11.21;20:30;A;FC Augsburg;1;2;0;0;0;1;
2021-22;13;27.11.21;18:30;H;Arminia Bielefeld;1;0;1;0;1;0;
2021-22;14;04.12.21;18:30;A;Borussia Dortmund;3;2;1;0;1;0;
2021-22;15;11.12.21;15:30;H;1. FSV Mainz 05;2;1;1;0;1;0;
2021-22;16;14.12.21;18:30;A;VfB Stuttgart;5;0;1;0;1;0;
2021-22;17;17.12.21;20:30;H;VfL Wolfsburg;4;0;1;0;1;0;
2021-22;18;07.01.22;20:30;H;Bor. Mönchengladbach;1;2;0;0;0;1;
2021-22;19;15.01.22;15:30;A;1. FC Köln;4;0;1;0;1;0;
2021-22;20;23.01.22;17:30;A;Hertha BSC;4;1;1;0;1;0;
2021-22;21;05.02.22;18:30;H;RB Leipzig;3;2;1;0;1;0;
2021-22;22;12.02.22;15:30;A;VfL Bochum;2;4;0;0;0;1;
2021-22;23;20.02.22;15:30;H;SpVgg Greuther Fürth;4;1;1;0;1;0;
2021-22;24;26.02.22;18:30;A;Eintracht Frankfurt;1;0;1;0;1;0;
2021-22;25;05.03.22;15:30;H;Bayer Leverkusen;1;1;0;0;1;0;
2021-22;26;12.03.22;15:30;A;1899 Hoffenheim;1;1;0;0;1;0;
2021-22;27;19.03.22;18:30;H;1. FC Union Berlin;4;0;1;0;1;0;
2021-22;28;02.04.22;15:30;A;SC Freiburg;4;1;1;0;1;0;
2021-22;29;09.04.22;15:30;H;FC Augsburg;1;0;1;0;1;0;
2021-22;30;17.04.22;15:30;A;Arminia Bielefeld;3;0;1;0;1;0;
2021-22;31;23.04.22;18:30;H;Borussia Dortmund;3;1;1;0;1;0;
2021-22;32;30.04.22;15:30;A;1. FSV Mainz 05;1;3;0;1;0;1;
2021-22;33;08.05.22;17:30;H;VfB Stuttgart;2;2;0;1;1;0;
2021-22;34;14.05.22;15:30;A;VfL Wolfsburg;2;2;0;1;1;0;
2020-21;1;18.09.20;20:30;H;FC Schalke 04;8;0;1;0;1;0;
2020-21;2;27.09.20;15:30;A;1899 Hoffenheim;1;4;0;0;0;1;
2020-21;3;04.10.20;18:00;H;Hertha BSC;4;3;1;0;1;0;
2020-21;4;17.10.20;18:30;A;Arminia Bielefeld;4;1;1;0;1;0;
2020-21;5;24.10.20;15:30;H;Eintracht Frankfurt;5;0;1;0;1;0;
