"","age","income"
"1",18.8,37.4
"2",20.4,40.2
"3",21.6,36.8
"4",22,39
"5",19.6,34.8
"6",21.2,39.6
"7",20.8,28.4
"8",21.6,38.8
"9",24,41
"10",24,42
"11",24.4,39.2
"12",23.6,39.8
"13",22.8,30.4
"14",20.4,39.2
"15",22.4,41.2
"16",26.4,37.2
"17",26.8,34.4
"18",28,36
"19",26,46
"20",28,32
"21",25.2,40.6
"22",26.4,41.2
"23",26.8,39.4
"24",27.6,36.8
"25",29.2,35.6
"26",27.6,36.8
"27",27.2,38.6
"28",28.8,45.4
"29",28,46
"30",32.4,39.2
"31",29.6,35.8
"32",28.8,41.4
"33",29.6,36.8
"34",33.2,34.6
"35",28.8,36.4
"36",30.8,38.4
"37",31.2,41.6
"38",30.8,46.4
"39",31.6,45.8
"40",31.6,33.8
"41",37.2,49.6
"42",32.8,48.4
"43",32.4,46.2
"44",36,44
"45",38.4,40.2
"46",35.2,40.6
"47",36.8,43.4
"48",36,47
"49",34.8,48.4
"50",36.4,45.2
"51",36.8,46.4
"52",40.8,50.4
"53",36.8,48.4
"54",40.8,39.4
"55",36.8,39.4
"56",43.2,53.6
"57",41.2,38.6
"58",43.2,54.6
"59",44.4,54.2
"60",40.8,43.4
"61",44,45
"62",45.6,40.8
"63",44,40
"64",42.4,43.2
"65",46,55
"66",43.2,48.6
"67",43.6,46.8
"68",43.6,40.8
"69",43.6,48.8
"70",46.4,48.2
"71",49.2,43.6
"72",48,46
"73",49.6,48.8
"74",49.2,51.6
"75",49.6,51.8
"76",47.6,45.8
"77",48.8,45.4
"78",47.6,56.8
"79",50.4,51.2
"80",49.2,56.6
"81",47.6,50.8
"82",49.2,56.6
"83",49.2,54.6
"84",52,49
"85",49.6,54.8
"86",50.4,43.2
"87",52.8,48.4
"88",55.6,46.8
"89",55.2,56.6
"90",52.8,45.4
"91",56,47
"92",55.2,47.6
"93",53.2,51.6
"94",58,62
"95",56.8,56.4
"96",56,56
"97",57.2,54.6
"98",56,47
"99",58.4,60.2
"100",56,56
"101",55.2,59.6
"102",58,57
"103",58.4,51.2
"104",56.4,61.2
"105",58.4,62.2
"106",57.2,57.6
"107",61.2,55.6
"108",64,56
"109",60.4,55.2
"110",59.6,56.8
"111",60,60
"112",65.6,56.8
"113",66,53
"114",64.4,48.2
"115",61.2,56.6
"116",64.4,58.2
"117",62,50
"118",66.8,54.4
"119",65.6,52.8
"120",66.8,53.4
"121",69.2,41.6
"122",65.2,49.6
"123",70,44
"124",68.4,46.2
"125",68,55.5
"126",67.6,57.8
"127",69.2,51.6
"128",70.4,41.7
"129",72.4,42.2
"130",68,46.5
"131",71.2,45.1
"132",72,40.5
"133",70.8,45.4
"134",68.8,47.9
"135",69.2,41.6
"136",74,39
"137",73.6,45.3
"138",70.8,54.4
"139",74.4,38.7
"140",73.2,53.6
"141",74.8,52.4
"142",72.8,40.9
"143",76.8,42.9
"144",74,49
"145",73.6,50.3
"146",74,48
"147",79.6,43.8
"148",77.6,44.3
"149",78.8,49.4
"150",80.8,43.9
"151",80.8,41.9
"152",76.8,48.9
"153",79.6,38.8
"154",80.4,36.2
"155",77.6,47.3
"156",80.4,44.2
"157",82.4,34.7
"158",81.2,41.6
"159",83.6,45.8
"160",81.6,40.3
"161",82,45
"162",84,34.5
"163",80,47.5
