"group","ai_lit","ai_sat"
"wm",4,5
"wm",3.375,5
"wm",3.25,4
"wm",3.375,5
"wm",4.25,5
"wm",4.5,5
"stud",3.25,4
"mtsv",3.625,5
"stud",2.375,4.33333333333333
"wm",4.375,4
"hl",3.625,3.66666666666667
"wm",3.375,4
"mtsv",3.25,3.33333333333333
"mtsv",3.875,4
"stud",4.125,4.33333333333333
"mtsv",3.375,5
"wm",4.375,4.33333333333333
"wm",3.625,4.66666666666667
"mtsv",3.875,4
"wm",3.75,4.33333333333333
"mtsv",3.625,3
"hl",3.375,3.66666666666667
"mtsv",3.75,4.33333333333333
"wm",3.25,4
"wm",4.125,4
"wm",3.875,5
"wm",3.25,4
"stud",4,3.66666666666667
"mtsv",3,4
"wm",3.875,4.33333333333333
"wm",4.375,5
"wm",3,4.33333333333333
"mtsv",4.25,5
"mtsv",4.25,4.66666666666667
"hl",3.5,4
"wm",4.25,4
"wm",3.75,2.66666666666667
"stud",2.625,3.66666666666667
"wm",4,4
"stud",4,4.33333333333333
"mtsv",4.125,4.33333333333333
"wm",4.125,4
"mtsv",3.25,4.33333333333333
"wm",3.625,4
"stud",2.875,4
"mtsv",3.625,5
"wm",4.5,4.66666666666667
"stud",3.25,4.33333333333333
"mtsv",2.75,4
"stud",4,4.33333333333333
"stud",3,4
"stud",3,4.66666666666667
"wm",3.5,4
"stud",3.75,4.66666666666667
"wm",3.625,4
"stud",3.75,5
"stud",3.5,4
"stud",3.875,4
"wm",4.25,5
"hl",3.625,2.33333333333333
"wm",3.625,4
"wm",3.75,4
"mtsv",3.125,3.66666666666667
"wm",3,4
"wm",3.625,4
"stud",3.625,4.33333333333333
"mtsv",3.125,3.66666666666667
"mtsv",3.625,4
"wm",3.25,4.66666666666667
"stud",5,5
"wm",3.75,5
"wm",3.875,4.66666666666667
"wm",4.25,5
"wm",3.5,4
"mtsv",3.125,4
"hl",2.375,3.33333333333333
"mtsv",3.25,4
"wm",3.5,4
"hl",2.5,4
"stud",3.125,5
"stud",3.375,5
"wm",3.875,4
"wm",3.75,4
"hl",4,5
"stud",3.75,3
"wm",2.75,4.33333333333333
"wm",3.875,3.33333333333333
"mtsv",3.375,3.66666666666667
"wm",3.75,4
"hl",4.25,5
"wm",4,5
"wm",3.75,4.33333333333333
"stud",3.625,3.33333333333333
"wm",5,5
"wm",4.5,3
"hl",3.5,5
"wm",3.375,4.66666666666667
"wm",4,5
"mtsv",2.625,4
"hl",3,4
"mtsv",4.125,4.33333333333333
"wm",3.5,4
"stud",4.125,4
"mtsv",3.75,4
"mtsv",4.125,2
"stud",2.625,3.33333333333333
"stud",4,4
"wm",4.25,3
"stud",2.75,3.66666666666667
"stud",3.625,5
"stud",3.25,4.33333333333333
"stud",3.75,4
"stud",4.125,3.66666666666667
"wm",3.5,4
"stud",3.25,4
"mtsv",3.5,3
"stud",3.625,4
"hl",4.625,4
"wm",4,5
"wm",4,3.66666666666667
"wm",3.5,4
"stud",3.375,4
"stud",4.375,5
"stud",3.25,3.66666666666667
"wm",3.875,4
"wm",3.375,4
"mtsv",2.5,4
"wm",3.125,3.33333333333333
"wm",4.875,4.66666666666667
"stud",2.75,4.33333333333333
"wm",3.25,4.66666666666667
"wm",3.375,5
"wm",3.5,4.33333333333333
"stud",3.875,5
"hl",4.875,4.66666666666667
"wm",2.625,4
"stud",3.875,4.66666666666667
"stud",4.5,4
"wm",3.625,4
"wm",3.75,4
"stud",2.875,3.33333333333333
"wm",4,4
"stud",3.75,4
"stud",3.625,4
"wm",4.375,5
"stud",3.875,4.33333333333333
"wm",3.75,5
"wm",3.5,4
"mtsv",4.125,5
"mtsv",3.75,4
"mtsv",3.25,3.66666666666667
"stud",4.625,5
"wm",4.125,4
"stud",4,5
"stud",4.375,4
"hl",3.625,3.66666666666667
"mtsv",2.5,4
"wm",4.125,4
"mtsv",3.625,3.66666666666667
"wm",3.75,4
"wm",2.5,5
"stud",3.375,4
"wm",3.875,4
"wm",3,4
"wm",3.125,4
"stud",3.75,4
"mtsv",3.625,4.33333333333333
"stud",4.25,5
"stud",3.625,4.33333333333333
"wm",1.875,3.33333333333333
"wm",3.625,3
"wm",3,4
"wm",3.75,4.66666666666667
"wm",3.25,4.33333333333333
"wm",4.125,5
"wm",4.375,4.66666666666667
"wm",3.375,4
"mtsv",3.625,4
"wm",4.75,5
"wm",5,5
"wm",4,5
"mtsv",4,5
"hl",3,4
"hl",3,4
"mtsv",4.125,5
"stud",4,4.33333333333333
"wm",3.625,4
"wm",3.375,4.33333333333333
"stud",4,4.33333333333333
"wm",3.25,3
"wm",4.625,5
"wm",4,4.33333333333333
"wm",4,5
"wm",4.25,4
"stud",3.875,3.66666666666667
"wm",4,4
"wm",3.75,4
"mtsv",4.25,4.33333333333333
"mtsv",3.75,4.66666666666667
"stud",3.375,5
"stud",4,3.66666666666667
"wm",2.5,4.33333333333333
"mtsv",3.375,3.66666666666667
"wm",3.25,5
"hl",4.125,5
"mtsv",3,5
"wm",3.75,4.66666666666667
"wm",4,4.66666666666667
"mtsv",3.5,3
"wm",3.875,4
"wm",3.375,5
"wm",3.375,4.33333333333333
"stud",3.375,4
"hl",3.625,4
"wm",3.75,4
"mtsv",3.625,4
"hl",2.75,3
"mtsv",4,5
"hl",3.25,3.66666666666667
"stud",2.75,4.33333333333333
"wm",4.125,5
"hl",2.5,1.66666666666667
"stud",4.125,5
"mtsv",3.75,4
"stud",2.125,3.33333333333333
"mtsv",3.125,4
"wm",3.625,4.33333333333333
"stud",4.5,5
"stud",3.25,4.66666666666667
"mtsv",3.75,4
"mtsv",4.125,5
"wm",2.625,4.66666666666667
"hl",3.25,2
"wm",4.625,4.33333333333333
"stud",3.75,4.33333333333333
"wm",3.375,4.33333333333333
"stud",3.875,4
"wm",3.875,4.33333333333333
"mtsv",4.75,5
"wm",3.125,3.66666666666667
"wm",4,2.33333333333333
"mtsv",3.625,4
"mtsv",5,4
"mtsv",3.25,4
"hl",4.625,5
"wm",3.375,4
"wm",3.25,4.33333333333333
"wm",3.5,4
"wm",3.875,4
"wm",3.25,4.66666666666667
"wm",4.25,4.33333333333333
"stud",3.75,3.66666666666667
"wm",3.875,4.66666666666667
"wm",3.375,4.66666666666667
"stud",5,4
"mtsv",4.125,4.33333333333333
"wm",3,4
"stud",4,4.33333333333333
"wm",3.75,3
"stud",4,3
"wm",3,4.33333333333333
"stud",4.375,5
"hl",3.875,5
"wm",3.375,5
"wm",3.375,4.66666666666667
"wm",4.25,5
"wm",3.875,5
"stud",4.5,5
"wm",4.375,5
"stud",3.5,4.33333333333333
"wm",3.625,4
"stud",4.25,4
"wm",3.5,4
"mtsv",2.75,3
"stud",4.5,4
"stud",3.625,4
"mtsv",4,4.33333333333333
"mtsv",3.5,3
"stud",4.25,4.66666666666667
"wm",4.625,4
"wm",4.5,5
"wm",3.5,3.33333333333333
"stud",3.625,3.66666666666667
"stud",3.75,4
"stud",3.125,4.66666666666667
"stud",3.75,4
"wm",3.625,3.66666666666667
"mtsv",3.25,4
"stud",4,4
"mtsv",3.625,3.66666666666667
"hl",4.25,4
"wm",3.625,4
"stud",2.625,3
"wm",3.5,4
"hl",3.375,4.33333333333333
"stud",4.5,5
"stud",3.75,2.33333333333333
"mtsv",3,4
"wm",3,3.66666666666667
"stud",3.75,4.66666666666667
"wm",3.25,4
"wm",3.75,3.66666666666667
"mtsv",3.5,4
"wm",3.625,3.66666666666667
"wm",4.625,4.66666666666667
"wm",4.25,3.66666666666667
"mtsv",4.75,5
"stud",4,3.66666666666667
"stud",2,2
"stud",3.125,4
"wm",3.625,4
"wm",4.5,4.33333333333333
"stud",3.375,4
"stud",4.25,3.66666666666667
"wm",4,4
"hl",3.75,4
"stud",2.875,4
"wm",3,5
"stud",3.75,3.66666666666667
"stud",4,4.66666666666667
"mtsv",3.75,5
"wm",3.75,4
"stud",3.625,5
"wm",4,4
"stud",5,4.66666666666667
"stud",3,4
"stud",5,4.33333333333333
"stud",3.375,4
"wm",3.875,4
"stud",3.625,4
"hl",4.75,5
